99,660,540,470
6,1.0412,1.0416,1.0476
7,0.99245,0.99198,1.0063
9,0.99688,0.99198,0.98328
8,1.019,1.0145,1.0063
5,0.99688,1.01,1.02
6,1.0412,1.0416,1.0568
6,1.0146,1.028,1.0384
8,1.0013,0.99648,0.99707
1,0.96587,0.94238,0.93733
6,1.0235,1.0371,1.0384
4,0.98359,0.96943,0.95112
4,1.0146,1.001,0.98328
4,1.019,0.99648,0.98328
6,1.0235,1.0416,1.0706
3,0.98359,0.97394,0.93733
9,1.0146,1.0145,0.99247
8,0.94814,0.93336,0.92355
5,1.0013,1.0145,1.0246
5,1.019,1.0326,1.0338
8,0.97473,0.96943,0.9695
5,0.96144,0.96041,0.9649
9,1.0013,1.01,0.97409
2,1.0013,0.97845,0.9649
5,0.99245,0.99198,1.0063
5,1.0057,1.019,1.0292
5,1.019,1.0326,1.043
7,1.0013,1.001,1.0154
4,0.99245,0.99198,0.96031
5,0.99245,1.0055,1.0154
3,0.96587,0.95139,0.92355
6,1.0102,1.0235,1.0246
7,0.99245,0.99648,0.99247
9,1.0013,1.001,0.97869
7,0.98802,0.98747,1.0017
8,0.97916,0.98296,0.97869
7,1.0013,1.001,1.0063
3,0.98802,0.97394,0.95571
7,0.99688,0.99648,1.0017
8,0.98359,0.96492,0.9695
4,1.0013,0.99648,0.98788
1,1.0013,0.97845,0.97409
2,1.0013,0.97845,0.95571
5,1.0146,1.028,1.0384
3,1.0102,0.98747,0.97409
7,1.0057,1.01,1.0063
3,1.0013,0.98296,0.95112
3,0.99245,0.97394,0.94193
6,1.0013,1.0145,1.0154
4,0.98802,0.97394,0.95571
9,0.99688,0.99648,0.97409
7,1.0013,0.99648,0.99707
3,0.99245,0.96943,0.94652
8,0.98359,0.97845,0.97869
5,1.019,1.019,1.0246
8,1.0102,1.0055,1.0063
1,0.99688,0.98296,0.9649
8,1.019,1.001,1.0063
4,1.0146,1.001,0.97409
8,0.99688,1.001,0.99707
9,1.0013,1.001,0.9695
7,0.98359,0.99648,0.99707
2,0.99688,0.97394,0.96031
1,0.9703,0.9559,0.93733
3,0.97916,0.97845,0.95571
6,1.0235,1.0371,1.0384
3,0.99245,0.97845,0.96031
8,0.96144,0.96492,0.95112
7,1.0013,1.0145,1.0154
1,0.97473,0.96041,0.95112
9,1.0057,1.0055,0.98328
4,1.0013,0.97845,0.9649
6,1.0013,1.001,1.0063
5,0.99245,0.98296,1.0109
8,0.96587,0.96492,0.9695
7,1.0057,1.01,1.0063
9,0.99245,1.01,0.99247
4,1.0057,0.99198,0.97409
4,1.0057,0.98296,0.96031
4,1.0057,0.99198,0.9649
9,1.0146,1.0145,0.99247
9,0.99688,0.99648,0.97409
4,1.0102,0.98747,0.9649
8,0.98359,0.98747,0.98328
2,0.99688,0.98296,0.9649
7,0.96587,0.97845,0.98788
7,0.99688,0.99648,1.02
9,1.0057,0.99198,0.98328
4,1.0057,0.99198,0.9649
